The tag-bigram has the form ti|ti-1, but it calculate P(ti−1, ti).
ap|doz: 0.0043859649122807015
cc|ap: 0.010057315886233374
pn|cc: 0.0032624191249040467
to|pn: 0.032599837000814993
vbg|rp: 0.007220216606498195
cd|cs: 0.011052557944317493
in|cd: 0.13720115730165983
bez|--: 0.0055248618784530384
ppl|in: 0.0022741068146260976
ql|vbz: 0.01910299003322259
in|dti: 0.1311244272118435
ber|nns: 0.028386807604676354
jj|ber: 0.1473906911142454
vb|nn: 0.0039770693927710515
vbg|nns: 0.013409031486945803
nns|vbz: 0.018133997785160574
at|ap: 0.00930031361522656
wql|in: 0.00014533765356632955
abn|jj: 0.0004187537244922611
.|bez: 0.0032460945425035505
to|vbg: 0.03517847904811174
nps|cs: 0.0015855990299864758
pp$|rb: 0.004561681872272907
vb|ppo: 0.03878552254003517
to|.: 0.003652114829284865
wdt|rb: 0.0030883436278120926
rb|ppss: 0.04255959094668772
abl|cs: 0.0013057874364594507
at|abl: 0.9685714285714285
to|vbz: 0.06118493909191584
*|ppl: 0.0016736401673640166
in|hv: 0.01366622864651774
pn|ppo: 0.0018513375914097935
dt|pn: 0.0032599837000814994
vbg|.: 0.009376592491931374
vbg|ap: 0.006704877257488915
do|``: 0.003999529467121515
nn-tl|np: 0.004184975936388366
wrb|``: 0.020821079872956123
,|wrb: 0.04379729419857831
dt|``: 0.012704387719091872
``|cs: 0.011425640069020193
''|pp$: 0.00018316136516270836
jjr|at: 0.006444072401048741
*|vbz: 0.003737541528239203
pp$|bez: 0.011057009535402718
pp$|*: 0.005377548734035402
wdt|vbz: 0.0051218161683277965
to|bez: 0.024447149523229864
cc|be: 0.0017871649065800163
do|cc: 0.0009869503235003837
.|do: 0.06599378881987578
in-hl|nn-hl: 0.16131284916201116
at-hl|in-hl: 0.291497975708502
at|jj-hl: 0.010309278350515464
pp$|vbz: 0.03183831672203765
rb|be: 0.045816409423233145
dt|rb: 0.005071683572278574
vbz|nns: 0.002427819071452583
pn|in: 0.0024365430156708186
jj|pn: 0.05175224123879381
cs|*: 0.01568451714093659
.|np-tl: 0.06200154360689478
pp$|hvz: 0.010865022983702465
beg|in: 0.001367883798271337
at|beg: 0.1019786910197869
dt|nns: 0.001680797818697942
vb|dt: 0.0029850746268656717
ber|nn: 0.0033085976272628445
rb|pn: 0.07905460472697637
rb|ber: 0.12388340385519511
vbz|ap: 0.001622147723586028
hvz|wps: 0.034347142108023074
jj|ben: 0.08340248962655601
nr|cc: 0.0011788573308476806
ex|nr: 0.001959503592423253
beg|ber: 0.009637987776210626
vbn|beg: 0.5220700152207002
*|--: 0.008594229588704727
pp$$|in: 0.0005215056980909472
.|pp$$: 0.3269230769230769
--|jj: 0.002576945996875453
nn|--: 0.035297728667894414
.|dt: 0.02606199770378875
ex|cc: 0.005674964360127207
ap|bez: 0.008216676810712111
nn|bez: 0.01856360316494218
vb|ex: 0.0033333333333333335
``|ap: 0.002162863631448037
ql|ppls: 0.01775147928994083
,|jjt: 0.037601626016260166
ql|,: 0.008997338065661047
nn$|pp$: 0.010501251602661946
cc|nn$: 0.0034989503149055285
nn$|cc: 0.00024673758087509593
nns|nn$: 0.1357592722183345
``|hvz: 0.002089427496865859
''|vbn: 0.00662671836446951
at|'': 0.006503488234598558
vb|pps: 0.007747554148051801
doz|nn: 0.0007427464061202304
*|doz: 0.48903508771929827
nn-tl|vbz: 0.0029069767441860465
vbn-tl|at: 0.0038853965947499764
nn-tl|vbn-tl: 0.04838709677419355
np|in-tl: 0.022315202231520222
jj-tl|in-tl: 0.08856345885634588
nns-tl|jj-tl: 0.08366733466933868
pps|``: 0.021056346312198566
ppl|nn: 0.0009183046475668303
.|ppl: 0.1799163179916318
nns|wdt: 0.02050326188257223
md|ap: 0.0028117227208824484
--|rb: 0.004731682438941463
dti|rb: 0.001671672238907463
nn$|at: 0.009171220688420675
nn|nn$: 0.6018194541637508
vbg|nn$: 0.020293911826452064
nn|vbz: 0.044296788482835
nn|np: 0.03954802259887006
nn$|nn: 0.0003511164828931998
at|ppo: 0.03961862445616958
.|vbd: 0.05489655172413793
vbn|.: 0.004501443859351113
pp$|nn: 0.0007765076063984226
nn|nn-tl: 0.038885888434534374
pps|vbd: 0.01245320197044335
ql|``: 0.011645688742500881
dti|vbd: 0.0031133004926108374
--|vbg: 0.0031039834454216243
nns|hv: 0.015243101182654402
ql|nns: 0.004201994546744855
ql|rp: 0.009798865394533264
vbd|dt: 0.014466130884041332
nn|nns: 0.006723191274791768
nns|.: 0.014931204348564634
md|dts: 0.01069747539580659
to|wrb: 0.01903233203393717
wp$|nn: 0.0004388956036164998
nn|wp$: 0.508130081300813
:|bez: 0.0013187259078920673
do*|``: 0.006705093518409599
vb|do*: 0.7966101694915254
,|ppl: 0.13556485355648534
cd|ap: 0.031037093111279335
dti|.: 0.0038389672158994394
nns|dti: 0.12900951709552344
ber|rb: 0.0018416728055760186
rbr|ber: 0.0018805829807240243
to|rbr: 0.022549869904596703
dts|,: 0.0017036379769299025
in|doz: 0.03070175438596491
md*|nn: 0.0005266747243397997
np$-tl|jj-tl: 0.0045090180360721445
np-tl|np$-tl: 0.022058823529411766
nn-tl|in-tl: 0.28382147838214783
bez|``: 0.005058228443712505
nr|cs: 0.0005596231870540503
pn|at: 0.0014530751492560887
,|abn: 0.04982698961937716
nns-tl|dts: 0.0034231921266581087
vbd|nns-tl: 0.03503035964502569
wrb|vbn: 0.003489601691928093
vbd|ppss: 0.20738401383562674
jjs|at: 0.002148024133682914
nn|jjs: 0.5609065155807366
hv|rb: 0.004816682722275741
ber*|ppss: 0.0012030979772915257
``|ber*: 0.02127659574468085
jj|ber*: 0.06382978723404255
ppss+ber|.: 0.0007983692882622728
rb|ppss+ber: 0.0695970695970696
jj-tl|,: 0.00287488908606921
pp$|hv: 0.012352168199737189
dt+bez|cs: 0.00037308212470270016
at|dt+bez: 0.20809248554913296
,|bed: 0.014589280050745322
hvz|rb: 0.002096673655578852
ql|md: 0.003733820112844341
at|nr: 0.022207707380796866
od|jj: 0.0007247660616212211
cc|od: 0.03500269251480883
nns|od: 0.04900376952073236
jj|jjt: 0.08638211382113821
ql|hvd: 0.004240882103477523
bedz*|nn: 8.10268806676615e-05
vbn|bedz*: 0.0945945945945946
bed|rb: 0.001473338244460815
.|bed: 0.003171582619727244
bedz|wrb: 0.00343957807842238
dod|wrb: 0.009172208209126348
nns|dod: 0.004985044865403789
rb|ppls: 0.05029585798816568
vb|dti: 0.004934790271413465
nns|wrb: 0.025682182985553772
nns|rb: 0.005836686122287074
pn|rb: 0.002635008783362611
nns|bedz: 0.0010563008344776593
jj|*: 0.07013219807304504
wps|``: 0.0029408304905305257
ber|,: 0.0031765749778172136
wrb|jj: 0.0013528966483596129
nn|wrb: 0.03187342352671406
ap|vbz: 0.01301218161683278
ap|nns: 0.0011018563478130952
rb|ap: 0.007461879528495728
at|--: 0.1298342541436464
nns$|cc: 0.0002193222941111964
nn|nns$: 0.45849802371541504
hvz|,: 0.0024312333629103815
``|ber: 0.0028208744710860366
jjr|ql: 0.024799244213509684
jj|jjr: 0.04048370136698212
*|.: 0.002480040767793443
rb|dti: 0.007049700387733521
rp|ber: 0.0011753643629525152
to|rp: 0.02819322674918343
dts|vb: 0.004261842710409321
ap|,: 0.003921916592724046
hvd|,: 0.0034960070984915706
ben|hvd: 0.1547921967769296
nn|be: 0.009910641754670999
cc|pps: 0.004071707289487078
rb|wps: 0.040377556371263765
vbg|--: 0.022406384284837322
jj|nn$: 0.13296011196641008
md*|cc: 0.0006853821690974887
rb|md*: 0.04024390243902439
cc|cd: 0.037003197807217905
''|vbz: 0.0048449612403100775
abx|cs: 0.0012125169052837755
be|abx: 0.004219409282700422
rbr|in: 8.549273739195856e-05
rb|nr: 0.016982364467668192
to|``: 0.004822962004470062
ql|dti: 0.007402185407120197
ql|vbg: 0.007242628039317123
'|ql: 0.00023618327822390176
'|jj: 0.00046707146193367583
''|': 0.12618296529968454
wql|``: 0.0005881660981061052
ppss+ber|rb: 0.00019833399444664816
vbg|ppss+ber: 0.2967032967032967
''|vbg: 0.005633155141691096
vbn|np: 0.001763668430335097
in|bed: 0.04693942277196321
md*|ppss: 0.023761185051507632
hv|md*: 0.07317073170731707
np|hvd: 0.005089058524173028
--|np: 0.004483902788987535
vbg|np: 0.004095297880608615
np$|cc: 0.002823774536681654
jj|np$: 0.12645058023209282
rp|,: 0.0008873114463176575
np$|in: 0.007224136309620498
cd|jjr: 0.006834910620399579
vbg|cd: 0.006243337901629359
np$|.: 0.004212671989128588
nns|np$: 0.10804321728691477
ap$|at: 1.0529530067073107e-05
nns|ap$: 0.625
od|md: 8.297378028542981e-05
vb|od: 0.0010770059235325794
vb|ppl: 0.011715481171548118
jj|nns: 0.00952452097262167
hvd|rb: 0.0031166770555901852
to|ap: 0.01395047042283984
.|pps: 0.0016965447039529492
cd|vbd: 0.012098522167487684
''|rp: 0.02320783909231563
at|jj: 0.003269500233535731
ppss|--: 0.028852056476365868
bedz|ppss: 0.024287540416572675
''|dt: 0.010332950631458095
rp|rb: 0.003201677338924463
cd|bed: 0.01871233745639074
dti|``: 0.0017644982943183156
ppo|md: 0.002821108529704613
be|ppo: 0.0022216051096917524
jjr|be: 0.007961007311129163
dtx|in: 0.0003590694970462259
nn$|in: 0.0005386042455693389
cd|rp: 0.014956162970603403
bedz|ex: 0.2580952380952381
cd|--: 0.019030079803560467
pps|be: 0.0009748172217709179
bedz|vb: 0.00036792886708569676
to|bedz: 0.0192246751874934
,|wdt: 0.02050326188257223
pp$|bedz: 0.011724939262702018
abx|vbd: 0.0006305418719211823
abn|rb: 0.0026916756389187965
pp$|abn: 0.04048442906574395
vbg|ppl: 0.028451882845188285
vb|md*: 0.6158536585365854
.|dti: 0.0021149101163200562
cd-hl|.: 0.0033973161202649907
pps|cd-hl: 0.002277904328018223
cd|cc: 0.01765544467595131
:|dt: 0.0028702640642939152
ex+bez|:: 0.001304631441617743
at|ex+bez: 0.4411764705882353
ap|dts: 0.013692768506632435
nr|rb: 0.002663342211140704
,|nr: 0.15088177661659047
.|to: 0.0013178886037317056
ex+bez|.: 0.0005605571598437235
ppss+md|.: 0.0019364701885510446
hv|ppss+md: 0.10752688172043011
ppo|do: 0.07919254658385093
ppl|ppo: 0.0012959363139868555
pn|,: 0.0028039041703637976
ppo|rb: 0.00031166770555901855
.|md: 0.004480584135413209
dod*|pps: 0.007408245207261212
hv|dod*: 0.06896551724137931
pps|pn: 0.014669926650366748
pps|vb: 0.004261842710409321
vbn|ppo: 0.010552624271035824
jjr|bedz: 0.004330833421358403
rbr|vbn: 0.0019386676066267183
.|rbr: 0.11274934952298352
vbd|nn-tl: 0.030476043515160867
jjr|in: 0.0018209953064487173
vbg|vbd: 0.010009852216748768
rp|nns: 0.0022597392895827885
rbr|at: 0.0004211812026829243
cs|rbr: 0.12142237640936687
abn|cs: 0.006622207713472928
bedz*|pps: 0.004015155799355313
cs|bedz*: 0.02027027027027027
beg|cc: 0.00024673758087509593
jj|beg: 0.1004566210045662
cd|nn: 0.003301845387207206
jj|.: 0.016612875828095803
,|qlp: 0.15139442231075698
ap|bedz: 0.004542093588253935
pn|nn: 0.0003038508025037306
md|ppo: 0.006294547810793298
jj|bedz*: 0.11486486486486487
in|qlp: 0.10756972111553785
vbn|np$: 0.013605442176870748
rbr|rb: 0.0017000056666855556
bed|ex: 0.10428571428571429
abn|cc: 0.0036736484263625397
nn|bed: 0.0060260069774817635
,|ben: 0.011203319502074689
vbn|pp$: 0.010440197814274375
ap|*: 0.017925162446784673
*|ap: 0.0008651454525792149
,|wps: 0.018353434714210803
hvz|nns-tl: 0.009808500700607193
wql|vbn: 0.00014099400775467044
abl|in: 0.0009831664800075233
cc|in: 0.001880840222623088
bez|vb: 0.0012877510347999387
at|pn: 0.007334963325183374
pp$|ber: 0.005171603196991067
jj|do: 0.011645962732919254
at|nns-tl: 0.006539000467071462
abx|vbz: 0.0020764119601328905
nn|abx: 0.06188466947960619
abn|vbz: 0.0051218161683277965
wps|abn: 0.008996539792387544
bed|nn: 0.0020121675365802603
``|np$: 0.024809923969587835
bez|'': 0.0069764691971148166
``|to: 0.004023028369286259
cd|pp$: 0.004517980340680139
``|cc: 0.0054556420660160105
bed|,: 0.0017568766637089618
pps|bed: 0.001585791309863622
*|pps: 0.0013006842730305943
,|nns-tl: 0.16954694068192433
*|np: 0.0003886049083789197
(|nn: 0.0038285201115470058
at-tl|``: 0.012233854840606987
nns-tl|at-tl: 0.07084468664850137
np-tl|np-tl: 0.06277334705428352
''|np-tl: 0.024697710316439414
nns|rp: 0.01444043321299639
be|nns: 0.000859074440667837
np$|be: 0.0012997562956945572
cs|np$: 0.0024009603841536613
np|rp: 0.0046415678184631255
ben|rb: 0.005921686405621352
``|beg: 0.0182648401826484
''|in: 0.00042746368695979276
``|nn: 0.0013977136915171609
bed|pps: 0.003732398348696488
vbg|bed: 0.0976847446875991
np|vbz: 0.012181616832779624
vbg|``: 0.013057287377955534
pp$|wps: 0.0018353434714210803
in|``: 0.030114104223032585
rbr|.: 0.001104127739086122
pps|rbr: 0.020815264527320035
bez|cc: 0.004139708301348832
pp$|abx: 0.02109704641350211
ber|nns-tl: 0.012143858010275572
in|ber: 0.04936530324400564
np$|vbz: 0.0016611295681063123
``|vbz: 0.005398671096345515
``|ppo: 0.002499305748403221
wp$|'': 0.00011824524062906468
rbr|bez: 0.001724487725705011
*|vbn: 0.0013746915756080366
ppl|np: 0.0019131318566346816
bez|ppl: 0.01506276150627615
''|vbd: 0.0023645320197044333
ql|ppo: 0.012311394982875127
ex|nn: 0.0006347105652300151
(|ppo: 0.0016662038322688142
``|(: 0.016319129646418858
)|rb: 0.0016433388111293705
''|): 0.004966139954853273
)|'': 0.004375073903275393
vbz|): 0.01580135440180587
hvg|pp$: 0.0004273765187129861
rb|hvg: 0.029304029304029304
(|np$: 0.0028011204481792717
cs|bedz: 0.01193619942959755
wps|): 0.009480812641083521
cc|abx: 0.0014064697609001407
np$|,: 0.001898846495119787
ppo|nn: 9.453136077893842e-05
jj-tl|bez: 0.0008115236356258876
wps|--: 0.0052179251074278695
cd|np$: 0.008803521408563426
``|nns: 0.000877749971986703
``|hv: 0.0010512483574244415
abn|``: 0.005058228443712505
ben|abn: 0.0034602076124567475
hvd|cc: 0.002741528676389955
jj-tl|np$: 0.01600640256102441
(|in: 0.0002650274859150715
pp$|(: 0.004986400725294651
)|pp$: 0.0001221075767751389
nns|): 0.02618510158013544
vbg|vb: 0.007971792120190096
:|nns: 0.004127292421469391
--|vbz: 0.001522702104097453
cc|jjr: 0.05573080967402734
jjr|cc: 0.002686698102862156
do*|,: 0.00044365572315882877
--|rp: 0.005157297576070139
pp$|ppo: 0.004720910858094974
vbg|be: 0.032168968318440294
wps|np: 0.0027501270439123544
md*|pn: 0.004482477587612062
pp$|--: 0.015039901780233272
bez|np: 0.01321256688488327
vb|vbz: 0.0011074197120708748
vbg|ppo: 0.00842358604091456
rbr|cc: 0.0017545783528895712
vbg|rbr: 0.010407632263660017
np$|vbg: 0.0018393975972868886
''|ap: 0.003244295447172056
(|'': 0.007212959678372945
--|ppss: 0.0007519362358072035
md|--: 0.009208103130755065
''|--: 0.0012277470841006752
)|.: 0.002955665024630542
in|): 0.09887133182844243
``|nn$: 0.004198740377886634
jjt|``: 0.0007057993177273262
wp$|,: 0.0012954747116237799
wp$|cc: 0.0004934751617501919
vbg|wp$: 0.016260162601626018
np|'': 0.005794016790824169
rp|np: 0.0007174244462380056
vbz|vbz: 0.001522702104097453
dod|rb: 0.0018983396611322039
.|dod: 0.04885343968095713
bez|pp$: 6.105378838756945e-05
.|be: 0.00942323314378554
in|ben: 0.06431535269709543
nns$|at: 0.0010108348864390183
jjs-tl|np$: 0.00040016006402561027
in|dts: 0.0658964484381686
jj-tl|cc: 0.0030705121175567496
dt|np: 0.0006576390757181718
nn-tl|cc: 0.005784625507182805
np-tl|nn-tl: 0.017822698865828254
vbg|dts: 0.014120667522464698
hvz|ex: 0.014761904761904763
np$|wrb: 0.0036688832836505388
nn-tl|np$: 0.03281312525010004
jjt|,: 0.0002129547471162378
bedz|--: 0.008901166359729895
hvd|vbd: 0.00039408866995073894
nn-tl|.: 0.006471887209104807
np$|nn-tl: 0.00655813594630044
vbd|'': 0.0039020929407591345
nns|np: 0.014348488924760112
dts|cc: 0.00243996052198706
jj|dts: 0.09884467265725289
nr|jj: 0.0006603424116993348
fw-nns|at: 0.00011582483073780417
in|fw-nns: 0.07407407407407407
cd|cd: 0.022003959189888837
dts|vbd: 0.0012216748768472906
nns-tl|vbn-tl: 0.8118279569892473
vbg|vbn: 0.003912583715192104
cs|nn-tl: 0.007329681351747551
ql|np: 0.001165814725136759
ex+bez|wrb: 0.000687915615684476
np$-tl|in: 0.00031632312835024664
nn-tl|np$-tl: 0.5514705882352942
nr|nns: 0.0014006648489149516
cd|hvz: 0.00919348098620978
nns|jjt: 0.17276422764227642
nr-tl|at: 0.0021164355434816944
,|nr-tl: 0.14915254237288136
rbr|nns: 0.0022784148209016547
nr|rbr: 0.005203816131830009
nn-tl|bez: 0.0012172854534388314
cs|vbz: 0.05758582502768549
cd|vb: 0.009688793499923349
rp|nr: 0.0006531678641410843
jj|rp: 0.014612343132198728
cc-tl|nn-tl: 0.007715454054471106
nn-tl|cc-tl: 0.3547297297297297
nns|wp$: 0.24796747967479674
np$-tl|at: 0.0001684724810731697
jj-tl|ap: 0.005082729533902887
nns|np-tl: 0.010033444816053512
nps|jj: 0.0014656380357229138
cd|wrb: 0.006191240541160285
``|nps: 0.000819672131147541
nn-tl|vbn: 0.0018329221008107155
``|dt: 0.0025258323765786454
cs|'': 0.005794016790824169
ql|pn: 0.015077424612876936
rbt|ppo: 0.0004628343978524484
in|rbt: 0.21428571428571427
nn|abn: 0.07474048442906574
at-tl|in-tl: 0.1792189679218968
vbn-tl|at-tl: 0.055858310626702996
bedz|np-tl: 0.006431695394906097
at|cd: 0.007233135373838891
:|np: 0.002391414820793352
np|:: 0.0502283105022831
abx|cc: 0.0004934751617501919
pps|abx: 0.004219409282700422
ppl|pps: 0.0013006842730305943
cc|ppl: 0.0502092050209205
jjs-tl|cc: 2.741528676389955e-05
bed|np: 0.0030191612112516067
ex|rb: 0.002635008783362611
dts|ber: 0.005876821814762577
''|.: 0.001460845931713946
nr|bez: 0.0008115236356258876
nn-tl|od: 0.012385568120624663
``|vbn: 0.003983080719069439
in|nns-tl: 0.08173750583839327
wdt|vbg: 0.0028740587457607636
dti|cc: 0.003289834411667946
bedz|np$: 0.0024009603841536613
``|rb: 0.0012750042500141666
nn-tl|vb: 0.002820787980990342
np|od: 0.010770059235325794
vbd|``: 0.005175861663333725
rb|'': 0.004966300106420717
cd-tl|jj-tl: 0.0017535070140280561
,|cd-tl: 0.28346456692913385
nn-tl|cd: 0.0028932541495355567
rp|.: 0.0006115169016476983
vbg|dt: 0.0065442020665901265
vbn|cd: 0.007309273640931932
vbn|vbn: 0.002044413112442721
jj-tl|np-tl: 0.03781836892204785
(|nn-tl: 0.010107244811357148
od|(: 0.0009066183136899365
jjt|od: 0.0016155088852988692
in|jjt: 0.08333333333333333
)|cd: 0.0382975483477996
at-tl|,: 0.0005678793256433008
np-tl|at-tl: 0.10490463215258855
cd|abn: 0.015570934256055362
ber|cd: 0.0015227653418608193
dtx|vb: 9.198221677142419e-05
in|dtx: 0.29
rbr|vbg: 0.0011496234983043054
pps|rp: 0.0027505587072374077
hvn|hvz: 0.00961136648558295
to|hvn: 0.12719298245614036
*|hvz: 0.0325950689511074
ben|*: 0.014116065426842931
nps|ap: 0.004109440899751271
hv|nps: 0.02459016393442623
cd|nns: 0.004183319015425989
nr|.: 0.0010361814166808222
pps|nr: 0.013063357282821686
wpo|nn: 0.0005266747243397997
ap|wpo: 0.017985611510791366
in|be: 0.0388302193338749
jj-tl|nn-tl: 0.010030090270812437
np|jj-tl: 0.015280561122244489
nr|vbn: 0.0021854071201973914
cd|bez: 0.015216068167985392
ex|--: 0.003376304481276857
to|in: 0.00018808402226230881
doz|dt: 0.0019517795637198623
be|rbr: 0.009540329575021683
dt|*: 0.002688774367017701
in|md: 0.005393295718552937
nns|``: 0.025761675097047406
(|jj: 0.001030778398750181
cc|(: 0.04397098821396192
)|jj: 0.0013528966483596129
vbz|``: 0.003646629808257852
nn|ql: 0.001889466225791214
vb|abn: 0.016955017301038062
hv|nn: 0.0010263404884570456
jj|pps: 0.0015268902335576543
ppl|'': 0.00023649048125812936
pn|dti: 0.0014099400775467042
abl|rb: 0.00031166770555901855
np|``: 0.046582754970003526
ql|'': 0.0013006976469197116
rb|dt: 0.010332950631458095
jj|'': 0.004848054865791652
vbz|ex: 0.010476190476190476
dt|wrb: 0.015363448750286631
od-tl|in: 0.00020518256974070052
nps-tl|od-tl: 0.005208333333333333
.|nps-tl: 0.16666666666666666
ql|ppss: 0.0017294533423565682
vb|rbr: 0.05897658282740677
md|.: 0.0020553762527603194
ber|'': 0.0018919238500650349
dts|rb: 0.0012750042500141666
wp$|dts: 0.0017115960633290544
ppss|nns: 0.0048743136742240315
wp$|in: 0.00012823910608793782
)|np: 0.011927181418706842
cs|): 0.020316027088036117
ql|cs: 0.003311103856736464
pn|vbg: 0.0033339081450824855
in|pn: 0.1882640586797066
doz|np: 0.0006576390757181718
hv|doz: 0.010964912280701754
fw-in|,: 0.00012422360248447205
fw-jjr|fw-in: 0.012345679012345678
,|fw-jjr: 1.0
do|rb: 0.001190003966679889
,|do: 0.039596273291925464
vbn|wpo: 0.0035971223021582736
md|nr: 0.005878510777269758
abl|vb: 0.001042465123409474
*|bed: 0.03330161750713606
to|cs: 0.006528937182297253
vbz|jj: 0.00037043598705084634
pn|vb: 0.006469415912923502
cs|:: 0.028049575994781473
dti|bez: 0.002738892270237371
fw-nn|--: 0.0006138735420503376
fw-nn$|fw-nn: 0.01773049645390071
,|fw-nn$: 0.1111111111111111
fw-nn|,: 0.0002129547471162378
--|fw-nn$: 0.1111111111111111
wps|ppo: 0.0029621401462556697
ql|wps: 0.0018353434714210803
,|ppls: 0.1242603550295858
cd|dti: 0.021854071201973916
ppls|vbn: 0.00035248501938667606
dts|nn: 0.0002093194417247922
abn|at: 0.00044224026281707046
(|cc: 0.0014255949117227766
cs|(: 0.03218495013599275
np|): 0.02076749435665914
dt|vbz: 0.010105204872646734
hv|ppo: 0.003147273905396649
np|pp$: 0.006044325050369375
hv|,: 0.0018633540372670807
dt|ap: 0.000757002271006813
nn$|jj: 0.0013367907358791413
ppls|ppss: 0.0007519362358072035
md|ppls: 0.014792899408284023
md|vb: 0.0005518933006285452
ppss|dt: 0.0024110218140068885
np$|wdt: 0.0007455731593662628
uh|,: 0.0013842058562555457
,|uh: 0.546875
hvz|wdt: 0.015284249767008387
ex|cs: 0.013057874364594506
md*|ex: 0.002380952380952381
dt|do: 0.04192546583850932
to|ber: 0.01151857075693465
bez|vbn: 0.0017624250969333803
''|od: 0.0010770059235325794
cc|bez: 0.002434570906877663
jj|(: 0.035811423390752495
)|nn: 0.0027819229029230445
cd-tl|nn-tl: 0.036339788596558904
cs|cd-tl: 0.006749156355455568
at|:: 0.12850619699934768
(|wps: 0.0005243838489774515
cd|(: 0.1541251133272892
(|.: 0.004110752505520639
to|ppl: 0.022594142259414227
ap|ppo: 0.00286957326668518
cc-tl|np-tl: 0.025984049395420632
